hash.tag,count
peruvian,10
released,10
case,10
short,10
cooperatives,10
related,10
combat,10
#dengue#anakkl,10
press,10
lead,10
campaign,9
republic,9
wapda,9
year!,9
say,9
"cold,",9
infections,9
can't,9
http://t.co/d4nvs09v2k,9
"cases,",9
always,9
projects,9
defined,9
33%,9
#georgetown,9
research!,9
pressure,9
dhf,9
nigeria:,9
de,9
independent,9
live,9
economy,9
treatment,9
americas,9
#jp14,9
yoyogi,9
consistency,9
taiwan,9
go,9
gm,9
virus.,9
home,9
friend.,9
call,9
give,9
"week,",9
"brazil,",9
brazil.,9
16-apr),9
died,9
#wolbachia,9
thank,9
pan,9
narrow,9
"#ebola,",9
town,9
remain,9
clammy,9
part,9
doctors,9
luke,9
raise,9
solid,9
weak,9
yahaya,9
"areas,",9
…,9
spike,9
days,9
availability,9
stopping,9
http://t.co/l42jy0wm9lrt,9
denguert,9
http://t.co/3swk2…rt,9
blow,9
provided,9
"paulo,",9
dont,9
story,9
nuevo,9
called,9
exco,9
use,9
reeling,9
http://t.co/k7frschiii,9
cellphones,9
rapid,9
@sgnews:,8
:(,8
years,8
http://t.…rt,8
"year,",8
saw,8
fiercepharma,8
mosquitos,8
come,8
locally,8
#dengue:,8
#vectorborne,8
feverrt,8
tested,8
wasa,8
regional,8
"08:31am,",8
contribute,8
protection,8
work,8
thanks,8
pls,8
stick,8
tabuk,8
#chikungunya,8
moves,8
paolo,8
vector,8
http://t.co/rtnt7tnpmf,8
jamaica,8
summerkissedbwahahaha!,8
$sny,8
till,8
#tokyo,8
park,8
decision,8
every,8
hundreds,8
outbreaks,8
@tm_insider:,8
level,8
trips.,8
@scharlab:,8
ranveer,8
cent,8
#gmo,8
mission,8
pray,8
might,8
return,8
bulletin,8
app,8
132,8
@dhesibaharaja:,8
i've,8
pursue,7
schools,7
project,7
"h7n9,",7
drought,7
much,7
illness,7
repellent!,7
sorocaba:,7
#dengue?,7
full,7
@medical_twt,7
plans,7
paper,7
rise.,7
w,7
#prkdr,7
emergency,7
poster,7
transmission,7
makes,7
next,7
jan,7
include:,7
phones,7
aware,7
http://t.co/lggsfe3hjk,7
--,7
recovering,7
sends,7
"complications,",7
wolbachia,7
"norovirus,",7
tried,7
aegypti,7
issue,7
#india,7
discovering…,7
"460,000",7
used,7
..,7
#denguefever,7
b...,7
soldiers,7
modeled,7
burden,7
now.,7
clubs.,7
@latamsci:,7
thing,7
topics,7
@breakdengue,7
africa,7
response,7
launch:,7
"measles,",7
http://t.co/wqnlaitrsc,7
areas,7
national,7
(ap),7
pindi,7
@drfriedencdc:,7
earmarks,7
hate,7
mt,7
end,7
"too,",7
cycle,7
prevention:,7
ni,7
focus,7
george,7
r,7
jakarta,7
#mauritius,7
song,7
feel,7
#dengue#dengue,7
long,7
usa,7
"""dengue""",7
l...,7
present,7
#brazil's,7
whether,7
mozzie,7
sick,7
@barbara_fraser,6
provincial,6
@the_japan_news:,6
bitten,6
"#brazil,",6
40.1,6
den…rt,6
"so,",6
open,6
http://t.co/fxuqgqehnz,6
"mosquito,",6
3000,6
http://t.co/6tbtknt3p1,6
summer,6
#denguei,6
"#dengue,",6
they're,6
contracting,6
causes,6
ta,6
recap:,6
"05:31pm,",6
(corinthians),6
dengue!,6
currently,6
person,6
(@denguefever),6
460k+,6
"11:31am,",6
#malaria,6
#wild,6
spots,6
#justice4saiful#anakkl,6
healthshare,6
"09:31am,",6
office,6
aunt,6
war,6
expanding,6
http://t.co/zokhodt5k6,6
mr.,6
concern,6
tropical,6
@jamaicagleaner:,6
#philippines,6
benefit,6
escalating,6
antibody,6
#lifestyle,6
rpt'ed,6
http://t.co/ey0oz4fqqkrt,6
read:,6
yahayart,6
viru…dengue,6
manufacture,6
http://t.co/ylt0afkwo1rt,6
winning,6
never,6
wary,6
weeks,6
u.s.,6
@etribune:,6
medical,6
#environment,6
asks,6
tiny,6
removed],6
http://t.co/p77rpoztux,6
human,6
dead,6
blindness,6
diagnose,6
@dawn_com:,6
troops,6
recovery,6
group,6
fever...,6
little,6
12,6
show,6
malaysian,6
critical,6
http://t.co/0ped011iu2,6
search,6
http://t.co/ihbwuwyxvt,6
house,6
trip,6
vanishing,6
fu:,6
fun,6
rick's,6
capeding,6
infected,6
wards,6
bleeding,6
body,6
decrease,6
industrial,6
didnt,6
explanation,6
parks,6
#technology,6
infographic:,6
tweet,6
http://t.co/hzqrskc5zy,6
@biox_malaysia:,6
disease?,6
neurological,6
god,6
@tunfaisal#unity4malaysia,6
seminar,6
http://t.co/xx9li49hcu,6
escape,6
icu,6
mosquitoes.,6
head,6
#climatechange,6
na,6
#pharma,6
bacteria,6
australian,6
ferry,6
huge,6
infort,6
http://t.co/8qylkdddyu,6
region,6
@cdcglobal:,6
it’s,6
"#chikungunya,",6
@xhnews:,6
recognise,6
@petrajayamp,6
@drjudystone,6
#fetpinternationalnight,6
"08:31pm,",6
are...,6
health:,6
"entry,",6
@hasnainlehri:,6
guru,6
mosquito-borne,6
http://t.co/iyfqi1rnsd,6
@cdctravel:,6
to...,6
remedies,6
#planet,6
awards!,6
spoke,5
yahoo,5
@mohdfairusrazal:,5
feeling,5
nationwide,5
european,5
sure,5
complications,5
:),5
team,5
bc,5
vectors,5
working,5
invited:,5
immune,5
dengue…,5
se,5
suggesting,5
bite,5
inventor,5
illness.,5
going,5
http://…rt,5
boat,5
kilby,5
learning,5
http://t.co/nzxdmn9vmb,5
http://t.co/sjfvgnvitv,5
hospital.i,5
@healthranger:,5
(but,5
@biopharmajosh:,5
play,5
dengue=,5
"dengue""",5
town:,5
resting,5
insecticide,5
spending,5
let,5
hcplive,5
pasteur,5
dubbed,5
karachithe,5
means,5
drink,5
lumpur:,5
http://t.co/tlmzq8akjq,5
avoid,5
repeat,5
http://t.co/rugofnjo1u,5
nonpoisonous,5
https://t.co/xu4zvh0jbp,5
programme,5
tackled,5
"year,half",5
@revsphoto,5
straits,5
asking,5
oxitec,5
now:the,5
didn't,5
produce,5
court,5
happen,5
television,5
attractiveness,5
ground,5
celebrate,5
gonna,5
story:,5
icymi:,5
#castle,5
central-west,5
since,5
passed,5
close,5
urgent,5
bernama:,5
@cynegeticus:,5
bio-x,5
grips�,5
@laurie_garrett:,5
university,5
@fcotravel:,5
@worldbank,5
travelers',5
density,5
@pirbright_inst,5
h...,5
http://t.co/…rt,5
asia,5
nea,5
dr.,5
@sonjaaidf:,5
alphey,5
vaccines:,5
there's,5
http://t.co/tpmtcqoq9d,5
lovely,5
inherit,5
"ago,",5
highly,5
…april,5
@wbg_gov:,5
insider,5
bites,5
confused,5
blindness=,5
11,5
pain,5
track,5
summary,5
middle,5
#radioparadise:,5
mozzies,5
"really,",5
component,5
@rapplerdotcom,5
http://t.co/bxyb8qzioqrt,5
eye,5
@gracellegerber:,5
someone,5
mystery,5
@japantimes:,5
members,5
@ozsultan:,5
least,5
mamc,5
find,5
@nickysmh,5
@ap_sports:,5
#srilanka,5
century,5
limit,5
yesterday,5
#newsfirst,5
f...,5
"(paho),",5
[government,5
30,5
"12:30pm,",5
#travel,5
#biotechnology,5
la,5
rep,5
coz,5
although,5
sembilan,5
http://t.co/igz386du7y,5
death=,5
feeding,5
would,5
"melle,",5
approach,5
protect,5
@dr_jameslogan,5
"mosquitoes,",5
darke,5
roundtable,5
"02:30am,",5
he's,5
"05:30am,",5
@ilona_flis,5
dengue#anakkl,5
"science,",5
"dengue,been",5
cities,5
reaction,5
#india's,5
#avfcrt,5
http://t.co/sppxpojvh1,5
manifestations,5
lets,5
"#drought,�",5
cbc,5
@plosntds:,5
activities,5
restlessn…rt,5
http://t.co/fju7wkq2eu,5
traveled,5
leading,5
#soccer,5
complication,5
all...?,5
people.,5
plan,5
infodengue,5
04.10,5
resistance,5
apr,5
@oxitec’s,5
a...,5
centre,5
job,5
piracicaba.,5
cross,5
(dhf)is,5
surge,5
prize,4
"27,",4
report:,4
"piracicaba,",4
music,4
http://t.co/eg0agwbghd,4
example,4
effective,4
borne,4
re,4
engagement,4
#brazilrt,4
came,4
asked,4
typhoid,4
#tsemtulku,4
boost,4
http://t.co/plko8rcutm,4
prosecutor,4
#sars,4
portuguese),4
http://t.co/wthhpmliwe,4
serius.,4
natural,4
#sports,4
rehab,4
mosquito.,4
"""tokay""",4
@kogifacts:,4
tracking,4
media,4
fogging,4
#savedmylife,4
vaughan,4
wgmu:,4
detailed,4
operation,4
#hasnainlehri,4
action,4
http://t.co/oajlfsaouf,4
citing,4
quick…,4
neglected,4
@deepveerfanclub:,4
missed,4
http://t.co/mtuxxbqea…rt,4
dengue�,4
guess,4
(in,4
session,4
stocking,4
year...if,4
@farahdhiya_fd:,4
@roureynolds:,4
"town,",4
@imprimispr,4
breeding.,4
defeat,4
recent,4
#sgem,4
chaired...,4
mouth,4
dengue.rt,4
"2014,",4
results,4
"12:31am,",4
gums,4
http://t.co/zdhkcob7mvrt,4
2013,4
2012,4
@joyk999:,4
@sharonkgilbert:,4
society,4
"virus,dengue",4
"april,",4
vs,4
den...,4
v.,4
less,4
sickened,4
#peru.,4
#life,4
literally,4
sister,4
construction,4
central-west.,4
monday,4
chance,4
woman,4
pitb,4
lab,4
🙋http://t.co/uwnjfeyybk,4
rates,4
"500,000",4
tough,4
aziz,4
steps,4
#punjab,4
together,4
thesundaily,4
usually,4
refine,4
"nose,",4
"sp,",4
discuss,4
&gt;,4
yeah,4
@hadynparry:,4
friend,4
http://t.co/rnvjvacrfr,4
now!.,4
mannan,4
aedes.eco-friendly,4
tackling,4
wait!,4
@stuartwigby:,4
#quality2015,4
asiaonefewer,4
htt…#anakkl,4
http://t.co/tmbznujkgo,4
unearthing,4
real,4
newshot,4
@pitb_official:,4
central,4
@owjnews:,4
thx!,4
star:,4
😢😢,4
@matadorbooks,4
@shastacnn:,4
species,4
away&amp;,4
committee,4
actually,4
put,4
played:,4
@sarahforhd134,4
null,4
officers,4
footballers,4
#easybranches,4
ok´d,4
game,4
run,4
cells.,4
#compassion,4
blitz,4
hosp,4
http://t.co/uyzcttcnts.,4
70%,4
&gt;&gt;,4
activity,4
you're,4
"8,772",4
http://t.co/fncksj7c…rt,4
@easy_branches,4
trainin…rt,4
indoor,4
abdomen,4
wish,4
#stupid,4
"times,",4
hi,4
pl,4
sorry,4
solution,4
ever,4
drs,4
grandma,4
[today],4
disc...,4
grand,4
"febrile,",4
extract,4
http://t.co/4oqskh7e1f,4
#pitb,4
brazil;,4
"10:30pm,",4
doc,4
now:,4
@tveitdal:,4
http://t.co/xig5uls1hmrt,4
yes,4
#buddhism,4
flying,4
dengue&amp;,4
mar,4
faisalabad,4
maybe,4
interesting,4
mail,4
@gmanews:,4
2015's,4
dengue…rt,4
"virus,west",4
continuous,4
15,4
efficient,4
wonder,4
antici...,4
[st],4
&amp;destroy,4
mom,4
@etribune,4
@tokyoreporter:,4
@rapplerdotcom:,4
http://t.co/kno24db30o,4
-severe,4
children,4
#chagas,4
needs,4
dragon,4
infant,4
27,4
21,4
thinking:,4
"06:31pm,",4
ke,4
mainichi,4
http://t.co/tg73qu2cae,4
common,4
alor,4
"""dengue",4
cuz,4
follows,4
irfan,4
eliminate,4
"true,the",4
forward,4
"19,946",4
http://t.co/40y81detpq,4
#penangrt,4
que,4
south,4
pakistan:,4
bernama:clinical,4
http://t.co/era1lq2okf,4
phases,4
#avfccaught,4
thought,4
lake,4
"10:31am,",4
kuala,4
signs.,4
#h1n1,4
statement,4
!!,4
gleaner,4
bug,4
dangerous,4
―,4
outbr...,4
school,4
change!,4
singh:,4
larg...,4
#drought,4
must,4
md,4
#platelets…,4
+0800,4
r...,4
http:…rt,4
fever�,4
"disease,",4
@calestous:,4
club,4
deepika,4
bwahahaha!,4
bed,4
one-hundred-and-thirty,4
"""@ebolaalert:",4
850,4
#justice4saifulrt,4
hear,4
post:,4
http://t.co/kmy3ggslfx,4
aids?,4
sports,4
alert—dengue,4
#peru,4
asiaone:,4
realise,4
bats,4
buzz,4
"state,",4
population,4
unfortunately,4
that's,4
jazz,4
bites.,4
encourages,4
#melanoma,4
hardly,4
"11:31pm,",4
http://t.co/svwghvrnyb,4
#txlege,4
penang:,4
poised,4
awani:,4
update,4
oh,4
#hb2055.,4
cabinet,4
#whitebloodcell,4
…#dengue,4
http://t.co/bmjuzmdvbn,4
tetravalent,4
"04:31pm,",4
http://t.co/i0mswm6l5q,4
#opengov,4
colombia,4
awani...,4
exploded,4
season.,4
chairman,4
added,4
b,4
@mailsport:,4
http://t.co/rrmuygdusa,4
rio,4
higher,4
analysis,4
http://t.co/l3wktima8x,4
cover,4
"02:31pm,",4
problems,4
back.,4
car,4
nursing,4
zahid,4
six,4
#football,4
doesn't,4
have...,4
pupils,4
epidemic.,4
"epidemic,",4
#mosquitos,4
agencies,4
free.3-in-1,4
wanna,4
gets,4
difficult,4
@livemint:,4
&amp;al,4
english,4
scared,4
star,4
this.,4
four,3
delhi,3
@beforeitsnews:,3
http://t.co/e6xyewhpu3,3
"seriously,im",3
hold,3
1000,3
senatory,3
affect,3
mission...,3
@sacbee_news,3
dengue-infected,3
http://t.co/nwgjot5g7w,3
@newsfirst_en:,3
causing,3
on!!,3
lessons,3
@youtubert,3
projects:,3
cardboard,3
life,3
yahayaclinical,3
@anujmbhatt:,3
survival,3
flavivirus,3
tribunethe...,3
sok,3
http://t.co/e8hwmqjczc,3
kits.,3
stays,3
brazil's,3
sp,3
#ptihas…sanofi,3
@oxitec:,3
sa,3
year:,3
http://t.co/f8pnu28cd5rt,3
container,3
reveals,3
2...,3
@marciadabliu:,3
peru;,3
rages,3
@gmwatch,3
games:,3
wants,3
@texassabo:,3
dark,3
intensifies,3
"01:31pm,",3
kinabalu:,3
saved,3
http://t.co/2o35zydcd1,3
yahaya#changepenang,3
watch:,3
6,3
company,3
(not,3
sent,3
information,3
@astonvillanews5:,3
state.,3
leroy,3
cases.,3
signs,3
"it,",3
finish,3
@theflaviviruses:,3
blues,3
@sp_scimedpub:,3
[link,3
relationship,3
#dengue#changepenang,3
whole,3
manila:,3
"fever,rift",3
the...,3
https://t.co/ddm959uxqh,3
"02:30pm,",3
http://t.co/pqespofkyh,3
ur,3
#sindh,3
securitymatters,3
i...,3
ago,3
send,3
experiencing,3
"68,533",3
outcomes,3
tools,3
@mohfw_india:,3
challenge,3
"07:31am,",3
jan1-april,3
http://t.co/xkwy3f03desabah,3
dbd,3
bring,3
"07:31pm,",3
/r/worldnews,3
once.,3
@mianirfanmannan:,3
rise…,3
"01:30pm,",3
breakbone,3
bali,3
#publichealth,3
increased,3
3-in-1,3
@hakanmbjorkman,3
"virus,",3
@maria_ressa:,3
compared,3
40.1%,3
"party,",3
machines,3
rep...,3
artists:,3
award,3
word,3
alphey's,3
@jpnadda_bjp,3
nets,3
#mosquito-borne,3
hike,3
da,3
w/,3
communicable,3
ill,3
launches,3
"11:30am,",3
confirmed,3
casualties.,3
ab-ve,3
kept,3
#singaporert,3
shout,3
@encikharith:,3
lahore,3
http://t.co/nkusadh5ji,3
cancer.,3
@gfriend:,3
viru…flavivirus,3
unravels,3
sending,3
history,3
super,3
"chikungunya,",3
dengue(mixbootleg)(((engelblue))),3
heard,3
taking.,3
"no,",3
brain,3
birds,3
challenges,3
reported:,3
flipping,3
"uganda,",3
mauritius],3
http://t.co/sh2xjmrk1xrt,3
begin,3
antivirals,3
#onehealth,3
@denguefever,3
blame,3
article,3
relatedness,3
#jp14rt,3
residents.,3
http://t.co/yi4mz5a8nq,3
@helenbevan,3
http://t.co/jcgwh0wq90,3
guillaume,3
area,3
details:,3
effective?:,3
#who,3
hospital.,3
i'll,3
vigilant:,3
@biodetectives,3
ask,3
denguemexican,3
1055,3
30sep.,3
@avmosquito:,3
epicenter,3
haemorrhagic,3
vulnerable,3
everywhere!!,3
clean,3
http://t.co/pogsybp7fi,3
http://t.co/pf3ily0fav,3
probably,3
hantavirus,3
28:,3
@viasimonromero:,3
look,3
praying,3
quarter:,3
@biologyanswers:,3
popular,3
@tvline:,3
healthcare,3
hands,3
time.,3
trav.,3
playlist,3
vaccinology.,3
#lastfm,3
http://t.co/4oqnw7u6ha,3
@dlbrazilnews:,3
http://t.co/wt67cgy9mw,3
"32,000+",3
den…#anakkl,3
humans,3
http://t.co/spmwgpmv0b,3
year-round,3
strains,3
novel,3
tv/radio,3
details,3
"spots,",3
je/aes,3
-ve,3
http://t.co/jupossh5pwrt,3
eat,3
#perangidenggi,3
diagnosis,3
today],3
nee,3
tell,3
adult,3
room,3
(paho)...,3
nsps,3
week.,3
went,3
loud,3
modern,3
seen,3
change.,3
machchar,3
@mjd1735:,3
http://t.co/lmhwf5xq5j,3
omg,3
#vaccine,3
kota,3
exception,3
study,3
im,3
save,3
#nowplaying,3
#nq,3
a…,3
http://t.co/l8mk5fzvag,3
clubs:,3
fighting...,3
250k,3
alert.,3
alert!,3
tomorrow.dengue,3
denguedengue,3
@hongkong_news:,3
am1700:,3
dealing,3
"here,",3
review.,3
flu,3
sunday,3
blindness?,3
mais,3
janeiro,3
proteins,3
language,3
sounds,3
we're,3
notices:,3
10,3
http://t.co/eqx4t5e8u5,3
cuban,3
@easy_branches:,3
http://t.co/vznc4wj1utrt,3
worrying,3
reading,3
cancer,3
http://t.co/0vrljra5uj,3
different,3
http://t.co/tmqh2ppj28,3
bagh,3
@mrbrown:,3
"09:31pm,",3
shri,3
explains,3
sick.,3
compare,3
(as,3
@celineschill:,3
more.,3
2:,3
http://…#dengue,3
“fewer”.,3
acting,3
done,3
http://t…rt,3
ko,3
spike:,3
http://t.co/am92e5gnpz,3
http://t.co/f2izws60ra,3
understand,3
"36,611",3
"06:31am,",3
http://t.co/ee7goxrwivrt,3
2015;,3
italy,3
"http://t.co/ifxikogakv""rt",3
serotypes,3
bio,3
bit,3
google,3
#philippinesrt,3
(@thegrandstar)!,3
safe.,3
http://t.co/ey0oz4fqqk#anakkl,3
access,3
waters,3
bulletin:,3
"ucayali,",3
re:,3
chicken,3
#wsj,3
negri,3
@jornalistavitor,3
"1,000",3
disease—deadly,3
cctv-america,3
taking,3
invasive,3
copies,3
(the,3
muscle,3
"ebola,yellow,fever,lassa",3
host,3
http://t.co/gui0l4lkd5,3
40,3
"4,",3
4s,3
#fnq,3
advisory],3
"03:30am,",3
guidelines,3
conduct,3
#pakistan:,3
love-hate,3
tidalrt,3
join,3
8800325881.,3
that...,3
support:,3
fever?,3
fever!,3
tool,3
expo,3
though,3
@celineschill,3
"valley,fever",3
progress.,3
#myanmar,3
viruses,3
"""together",3
mother,3
everything,3
vaccination,3
outbreak:,3
http://t.co/zdkmgbvnmt,3
@nixbeat,3
serious,3
rom,3
discovering,3
"03:31am,",3
govhk:,3
chaired,3
crisis,3
"18,730",3
"02:31am,",3
offers,3
diagnosed:,3
kena,3
attended,3
turn,3
"03:31pm,",3
k…rt,3
wide,3
anc,3
matei,3
of...,3
@barbara_fraser:,3
@ihaccproject,3
review,3
"07:30pm,",3
careful,3
#nbyc,3
#editorial,3
people.rt,3
seems,3
except,3
http://t.co/frxxuotqn1,3
strictly,3
yg,3
@twt_redza:,3
ou,3
#lbf15,3
mummies,3
viru…update:,3
program,3
everyone!,3
ten,3
imported,3
combating,3
rather,3
@ranveerfc_uk:,3
syndrome.,3
6.49%,3
#ptihas…rt,3
"05:31am,",3
artemis,3
(live,3
#haiku,3
various,3
c,3
threat.,3
#perangiaedes,3
"there,",3
strategy,3
fumigation,3
@kilbycourt.,3
question,3
nice,3
http://t.co/e6qddrfxmr,3
australia.,3
patrol,3
@umar96akmal,3
@twt_kesihatan,3
"03:30pm,",3
practice,3
@team_inquirer:,3
"09:32pm,",3
motorcycle,3
il-18,3
agency,3
chances,3
"please,",3
health’s,3
europe,3
favor,3
largest,3
@miyagi:,3
#tb.,3
@viasimonromero,3
slug,3
#epidemic,2
coolers,2
specially,2
dengue@celineschill,2
china,2
military,2
2015:,2
brings,2
glass,2
http://t.co/jupossh5pwdengue,2
advice.,2
#chickungunya,2
bubbles,2
#women,2
http://t.co/qdlxqihfa0brazilian,2
platelets,2
large...,2
we'd,2
large…,2
platelet.,2
today's,2
similarly,2
needed,2
#penangdengue,2
223.6%:,2
"well,",2
